epoch,phase,loss,top1,top5,lr,imgs_per_sec
73,train,2.511010,62.4389,83.4377,0.00747824,394.23
73,val,2.267552,67.2980,88.2540,0.00747824,711.13
74,train,2.504419,62.5828,83.5488,0.00733531,388.84
74,val,2.264685,67.0200,88.3120,0.00733531,1128.28
75,train,2.500727,62.6254,83.6147,0.00719180,391.01
75,val,2.255782,67.3880,88.4340,0.00719180,1137.59
76,train,2.497344,62.7073,83.6304,0.00704777,382.25
76,val,2.253773,67.4740,88.4000,0.00704777,786.31
77,train,2.492400,62.8334,83.7167,0.00690332,384.63
77,val,2.252919,67.4020,88.3500,0.00690332,690.52
78,train,2.489436,62.8966,83.7702,0.00675851,384.65
78,val,2.245590,67.6140,88.4360,0.00675851,538.78
79,train,2.485042,63.0111,83.8442,0.00661342,383.37
79,val,2.224613,67.9860,88.8000,0.00661342,661.27
80,train,2.477260,63.1212,83.9405,0.00646814,386.51
80,val,2.225738,68.2380,88.8440,0.00646814,664.33
81,train,2.475566,63.2194,83.9691,0.00632274,388.89
81,val,2.236193,67.8200,88.6760,0.00632274,716.66
82,train,2.470265,63.3089,84.0686,0.00617730,389.45
82,val,2.209100,68.7700,89.0440,0.00617730,632.47
83,train,2.463711,63.4783,84.1398,0.00603190,389.25
83,val,2.250941,67.4880,88.2860,0.00603190,1113.13
84,train,2.462130,63.5434,84.1997,0.00588661,389.04
84,val,2.217667,68.0420,88.8340,0.00588661,635.93
85,train,2.453835,63.7095,84.3533,0.00574153,388.60
85,val,2.219363,68.1600,88.7560,0.00574153,649.79
86,train,2.453844,63.7461,84.2816,0.00559672,390.78
86,val,2.224259,68.2720,88.8280,0.00559672,674.63
87,train,2.445695,63.9432,84.4135,0.00545226,390.71
87,val,2.230583,67.9560,88.8260,0.00545226,504.80
88,train,2.441535,63.9777,84.5210,0.00530824,388.00
88,val,2.211052,68.5940,88.9600,0.00530824,1012.94
89,train,2.434739,64.1445,84.5775,0.00516472,388.85
89,val,2.207800,68.7600,88.9860,0.00516472,663.75
90,train,2.431677,64.2259,84.6743,0.00502179,389.21
90,val,2.211737,68.3520,89.0160,0.00502179,1119.76
91,train,2.421475,64.4643,84.8301,0.00487953,389.55
91,val,2.208654,68.5700,89.0220,0.00487953,697.98
92,train,2.419678,64.5287,84.8358,0.00473801,392.54
92,val,2.183190,69.3440,89.4440,0.00473801,683.25
93,train,2.413543,64.7091,84.8820,0.00459731,388.95
93,val,2.180332,68.8200,89.3480,0.00459731,649.50
94,train,2.406661,64.8622,85.0495,0.00445751,389.50
94,val,2.184125,69.0300,89.3360,0.00445751,710.06
95,train,2.399540,64.9611,85.1446,0.00431867,388.83
95,val,2.171713,69.4340,89.5780,0.00431867,652.29
96,train,2.392597,65.1693,85.2491,0.00418088,389.06
96,val,2.173965,69.5320,89.3800,0.00418088,1120.14
97,train,2.390983,65.2578,85.2342,0.00404421,389.12
97,val,2.166495,69.2800,89.6400,0.00404421,693.53
98,train,2.383572,65.3494,85.3821,0.00390874,392.49
98,val,2.187406,68.9340,89.1340,0.00390874,684.98
99,train,2.379650,65.5261,85.4216,0.00377453,388.95
99,val,2.142148,70.2180,89.9200,0.00377453,1015.26
100,train,2.369679,65.6907,85.5985,0.00364166,386.21
100,val,2.141667,69.9400,89.9080,0.00364166,673.71
101,train,2.361828,65.8682,85.7349,0.00351021,392.53
101,val,2.178382,69.3600,89.3720,0.00351021,702.23
102,train,2.352699,66.0718,85.8478,0.00338024,388.68
102,val,2.128705,70.2640,90.0020,0.00338024,708.93
103,train,2.347351,66.2426,85.9580,0.00325182,375.13
103,val,2.137037,70.3080,90.1140,0.00325182,1123.65
104,train,2.337739,66.4849,86.0766,0.00312503,388.29
104,val,2.133660,70.3000,90.1800,0.00312503,551.57
105,train,2.331396,66.6245,86.1564,0.00299993,386.15
105,val,2.111417,70.7300,90.3540,0.00299993,1069.08
106,train,2.324462,66.8306,86.2294,0.00287659,386.31
106,val,2.118795,70.8640,90.0640,0.00287659,431.82
107,train,2.318275,66.9043,86.3542,0.00275508,386.10
107,val,2.096205,71.3100,90.6600,0.00275508,1060.41
108,train,2.305669,67.2630,86.5192,0.00263546,386.16
108,val,2.108623,70.9520,90.4420,0.00263546,1064.56
109,train,2.294453,67.5466,86.6803,0.00251779,385.87
109,val,2.102431,71.3000,90.5100,0.00251779,666.99
110,train,2.287610,67.7242,86.7741,0.00240215,386.20
110,val,2.095710,71.3580,90.5820,0.00240215,802.38
111,train,2.280459,67.8942,86.8817,0.00228859,386.04
111,val,2.084644,71.7380,90.4920,0.00228859,651.74
112,train,2.267243,68.1889,87.0853,0.00217718,389.10
112,val,2.078193,71.8740,90.7420,0.00217718,680.81
113,train,2.255113,68.4715,87.2239,0.00206797,386.86
113,val,2.075290,71.9180,90.8600,0.00206797,699.08
114,train,2.246590,68.6792,87.3773,0.00196103,386.20
114,val,2.061577,72.0600,91.0060,0.00196103,557.07
115,train,2.234598,68.9530,87.5642,0.00185641,386.69
115,val,2.054177,72.3260,91.0940,0.00185641,1067.08
116,train,2.225093,69.2051,87.6844,0.00175416,387.16
116,val,2.051801,72.6000,91.0640,0.00175416,683.14
117,train,2.212648,69.4940,87.8912,0.00165436,389.49
117,val,2.045334,72.5060,91.1480,0.00165436,675.83
118,train,2.201138,69.8005,88.0471,0.00155704,388.86
118,val,2.035075,72.9560,91.3100,0.00155704,677.52
119,train,2.189084,70.1341,88.2192,0.00146226,383.30
119,val,2.026388,72.9580,91.5200,0.00146226,529.80
120,train,2.176017,70.4240,88.3990,0.00137008,390.72
120,val,2.026314,73.0360,91.4660,0.00137008,667.60
121,train,2.160303,70.8418,88.5680,0.00128054,387.38
121,val,2.016351,73.2760,91.6640,0.00128054,1096.28
122,train,2.143958,71.1647,88.8413,0.00119368,386.92
122,val,2.007356,73.5500,91.7320,0.00119368,681.18
123,train,2.135301,71.4724,88.9211,0.00110957,390.73
123,val,2.001484,73.7460,91.7800,0.00110957,565.40
124,train,2.118122,71.8629,89.1834,0.00102824,387.07
124,val,1.986071,73.9340,92.1280,0.00102824,657.80
125,train,2.104431,72.2160,89.3824,0.00094974,390.32
125,val,1.980350,74.1840,92.0620,0.00094974,537.27
126,train,2.090275,72.5831,89.5548,0.00087411,387.41
126,val,1.976543,74.2420,92.0580,0.00087411,1052.92
127,train,2.071406,73.0474,89.8128,0.00080139,384.13
127,val,1.973468,74.2720,92.1680,0.00080139,543.78
128,train,2.055808,73.4197,90.0310,0.00073162,383.23
128,val,1.950868,74.7940,92.4020,0.00073162,1047.48
129,train,2.044433,73.7553,90.1448,0.00066484,385.88
129,val,1.949363,75.0000,92.4640,0.00066484,547.30
130,train,2.021485,74.3280,90.4629,0.00060108,385.86
130,val,1.941235,75.1780,92.6680,0.00060108,1071.83
131,train,2.005313,74.7593,90.6942,0.00054039,386.99
131,val,1.932942,75.1100,92.6480,0.00054039,572.55
132,train,1.989819,75.1582,90.8680,0.00048278,386.71
132,val,1.917902,75.6160,92.8220,0.00048278,690.59
133,train,1.970900,75.6676,91.1180,0.00042830,392.34
133,val,1.910889,75.8300,92.9060,0.00042830,692.19
134,train,1.952878,76.0946,91.3524,0.00037697,389.10
134,val,1.904011,76.0420,92.9960,0.00037697,1130.74
135,train,1.934461,76.6121,91.5901,0.00032882,389.34
135,val,1.894051,76.3220,93.1840,0.00032882,693.42
136,train,1.914781,77.1174,91.8301,0.00028387,388.75
136,val,1.890458,76.4200,93.1100,0.00028387,1002.05
137,train,1.900862,77.5352,91.9901,0.00024216,388.93
137,val,1.887446,76.5560,93.2540,0.00024216,674.43
138,train,1.880472,78.0497,92.2420,0.00020370,386.57
138,val,1.874539,76.9540,93.2920,0.00020370,1012.52
139,train,1.864454,78.5040,92.4601,0.00016852,390.43
139,val,1.869284,77.1620,93.3940,0.00016852,683.80
140,train,1.850155,78.8844,92.6053,0.00013663,394.38
140,val,1.864933,77.2180,93.5020,0.00013663,696.12
141,train,1.834189,79.3230,92.8014,0.00010804,391.14
141,val,1.861329,76.9940,93.5420,0.00010804,1134.46
142,train,1.819926,79.7204,92.9657,0.00008279,391.02
142,val,1.854691,77.2620,93.5980,0.00008279,621.78
143,train,1.809920,80.0135,93.0695,0.00006087,387.53
143,val,1.854056,77.4400,93.6780,0.00006087,657.15
144,train,1.798371,80.2917,93.2191,0.00004231,388.17
144,val,1.848487,77.5340,93.7240,0.00004231,530.30
145,train,1.791100,80.4961,93.2988,0.00002711,387.50
145,val,1.845512,77.5040,93.6840,0.00002711,1071.82
146,train,1.786212,80.6319,93.3401,0.00001527,387.51
146,val,1.848223,77.6180,93.7440,0.00001527,1079.04
147,train,1.782447,80.7448,93.3871,0.00000682,386.05
147,val,1.843176,77.6480,93.7360,0.00000682,664.65
148,train,1.779074,80.8549,93.3924,0.00000174,389.05
148,val,1.843868,77.5760,93.7100,0.00000174,658.59
149,train,1.779670,80.8263,93.3941,0.00000005,386.13
149,val,1.843018,77.5740,93.7600,0.00000005,1077.13
150,val,1.843018,77.5740,93.7600,0.00000005,385.15
150,val,1.843018,77.5740,93.7600,0.00050000,717.88
150,train,1.951576,76.1337,91.3983,0.00046968,380.41
150,val,1.937790,75.2100,92.4820,0.00046968,661.77
151,train,1.954128,76.0846,91.3501,0.00042210,390.33
151,val,1.928797,75.4260,92.6460,0.00042210,717.61
152,train,1.939917,76.4561,91.5492,0.00037697,393.89
152,val,1.917440,75.8240,92.8180,0.00037697,750.08
153,train,1.924976,76.8218,91.7211,0.00033432,388.10
153,val,1.909138,76.1240,92.9180,0.00033432,1114.08
154,train,1.907458,77.2936,91.9375,0.00029416,390.93
154,val,1.905113,76.1820,92.9040,0.00029416,1135.02
155,train,1.889871,77.8092,92.1681,0.00025652,390.98
155,val,1.894580,76.2900,93.1320,0.00025652,687.20
156,train,1.873907,78.2494,92.3464,0.00022140,389.93
156,val,1.888160,76.5380,93.2000,0.00022140,499.99
157,train,1.858610,78.6840,92.4925,0.00018882,390.35
157,val,1.878769,76.5620,93.3080,0.00018882,682.68
158,train,1.840319,79.1691,92.7135,0.00015880,390.57
158,val,1.872787,76.8660,93.4380,0.00015880,712.31
159,train,1.825333,79.6030,92.8856,0.00013134,391.02
159,val,1.868302,76.9620,93.4680,0.00013134,727.39
160,train,1.810251,80.0049,93.0593,0.00010647,391.09
160,val,1.865817,77.1380,93.4360,0.00010647,522.58
161,train,1.795627,80.4148,93.2231,0.00008418,388.39
161,val,1.863234,77.2120,93.5220,0.00008418,1074.84
